1.3162,-0.41243,-1.2266,0.93358,-0.94125,-1.0022,-1.31,1.2542,-0.43142,-1.0859,-1.0439,-1.0257,0.46886,-1.3904,-0.69143,0.96174,0.98969,1.0382,0.50025,0.63169,-1.3263,-0.92944,-0.93152,0.97534
1.318,-0.45202,-1.2472,0.93594,-0.9412,-1.0135,-1.2898,1.2113,-0.47522,-1.1059,-1.0306,-1.0818,0.50956,-1.3722,-0.70436,1.0133,1.0025,1.0925,0.52152,0.68701,-1.3392,-0.89403,-0.91154,0.88461
1.3479,-0.38315,-1.2241,0.96722,-0.9814,-0.9929,-1.3321,1.2522,-0.39556,-1.0999,-1.0627,-1.083,0.47941,-1.3625,-0.71313,1.0251,1.0544,1.0142,0.4733,0.67897,-1.3885,-0.95616,-1.0046,0.92577
1.2442,-0.42997,-1.2331,1.0065,-0.95817,-0.97591,-1.3956,1.23,-0.40859,-1.0989,-1.1035,-1.0531,0.49859,-1.3761,-0.68942,1.008,1.0467,1.0564,0.56086,0.72156,-1.3743,-0.88396,-0.97229,0.98159
1.3135,-0.39087,-1.2161,0.93854,-0.95056,-0.95388,-1.3074,1.2566,-0.40568,-1.1193,-1.0607,-1.0567,0.4669,-1.3041,-0.63333,0.99286,0.99073,1.0456,0.48306,0.68078,-1.3415,-0.92076,-0.92306,0.91928
1.3214,-0.45186,-1.242,0.98258,-1.0042,-0.98144,-1.2567,1.2755,-0.42203,-1.11,-1.0652,-1.0427,0.48591,-1.3485,-0.74854,1.0497,1.0328,1.1003,0.50414,0.63754,-1.3266,-0.89587,-0.9695,0.90527
1.3703,-0.42218,-1.2324,0.98781,-0.99143,-0.9632,-1.2696,1.294,-0.3973,-1.0752,-1.1229,-1.076,0.42159,-1.3849,-0.63886,0.97736,0.98081,1.0155,0.54719,0.68938,-1.376,-0.88856,-0.91368,0.93926
1.3098,-0.4131,-1.2061,0.92012,-1.0203,-1.0049,-1.2678,1.2152,-0.38542,-1.097,-1.055,-1.1052,0.4838,-1.3413,-0.72515,0.96059,1.0552,1.0158,0.49429,0.66029,-1.3991,-0.89122,-0.93907,0.87367
1.3715,-0.35852,-1.2951,0.96064,-1.002,-1.0013,-1.3007,1.2668,-0.46617,-1.108,-1.0447,-1.0686,0.44226,-1.3115,-0.72925,1.013,1.0753,1.0624,0.52686,0.63682,-1.3065,-0.9013,-0.98314,0.93766
1.3265,-0.39487,-1.2093,0.97641,-0.96177,-1.0092,-1.3523,1.2634,-0.4065,-1.0933,-1.061,-1.046,0.49652,-1.3592,-0.68334,1.0493,1.088,1.0356,0.46521,0.67072,-1.3832,-0.99337,-1.0031,0.94462
